31044;31;Balma;14245;25;1360;19,28%;;;;109735,25;;189;295;139;0;0;3;0
31056;31;Beauzelle;5480;25;465;18,11%;;;;34931,24;;47;162;27;1;0;2;0
31069;31;Blagnac;22983;25;2555;23,34%;;;;85604,34;;145;443;164;0;1;8;0
31091;31;Brugui�res;5026;25;117;5,19%;;;;124401,67;124401,67;20;46;50;0;0;1;0
31113;31;Castanet-Tolosan;11440;25;1159;19,56%;;;exon�r�e;;;35;304;18;0;0;10;0
31116;31;Castelginest;9369;25;467;10,58%;;;;109575,46;109575,46;22;97;33;0;3;10;0
31117;31;Castelmaurou;3965;25;83;5,45%;;;;34630,97;;0;17;57;0;0;0;0
31150;31;Cornebarrieu;5798;25;293;11,06%;;;;126152,9;126152,9;40;97;46;0;0;4;0
31157;31;Cugnaux;16314;25;1211;16,30%;;;exon�r�e;;;46;287;136;0;2;23;0
31165;31;Eaunes;5651;20;310;12,87%;;;;21579,66;21579,66;21;207;0;0;0;0;0
31169;31;Escalquens;6124;25;495;18,23%;;;;31492,12;;38;257;25;1;0;3;0
31182;31;Fenouillet;5121;25;373;15,98%;;;;66934,18;66934,18;24;84;0;0;0;0;0
31187;31;Fonsorbes;11828;20;605;13,00%;;;;32094,7;;35;390;24;0;0;0;0
31203;31;Frouzins;8426;25;405;11,32%;oui;0;;58474,5;;7;196;84;0;0;2;0
31230;31;Gratentour;3552;25;105;7,73%;;;;36801,05;36801,05;9;18;12;0;0;0;0
31248;31;Labarthe-sur-L�ze;5059;20;163;8,07%;;;;32976,7;32976,7;24;108;0;0;0;0;0
31282;31;Launaguet;7469;25;499;14,79%;;;;59299,61;;40;124;51;0;0;1;0
